,birth_date,college,end_year,height,player id,player name,position,start_year,weight
4051,19900508,University of Connecticut,2017,6-1,walkeke02,Kemba Walker,G,2012,172
4052,19640818,University of Kentucky,1995,6-8,walkeke01,Kenny Walker,F,1987,210
4053,19560320,Millersville University of Pennsylvania,1978,6-3,walkeph01,Phil Walker,G,1978,180
4054,19760225,University of Louisville,2006,6-9,walkesa01,Samaki Walker,F,1997,240
4055,19540718,University of Virginia,1984,6-7,walkewa01,Wally Walker,F,1977,190
4056,19900906,University of Kentucky,2017,6-4,walljo01,John Wall,G,2011,195
4057,19740910,Virginia Union University,2012,6-9,wallabe01,Ben Wallace,F-C,1997,240
4058,19820723,University of Alabama,2015,6-7,wallage01,Gerald Wallace,F,2002,215
4059,19740209,Syracuse University,2004,6-8,wallajo01,John Wallace,F,1997,225
4060,19740917,University of North Carolina,2013,6-10,wallara01,Rasheed Wallace,F-C,1996,225
4061,19180712,University of Scranton,1947,6-1,wallare01,Red Wallace,G,1947,185
4062,19451005,Tennessee State University,1972,6-6,walledw01,Dwight Waller,F,1969,220
4063,19641120,Virginia Union University,1988,6-4,walleja01,Jamie Waller,G,1988,215
4064,19940322,Baylor University,2017,6-8,princta02,Taurean Waller-Prince,F,2017,220
4065,19300829,Stanford University,1958,6-4,walshji01,Jim Walsh,F,1958,195
4066,19821202,University of Florida,2006,6-6,walshma01,Matt Walsh,G-F,2006,205
4067,19700312,University of Kansas,2000,6-4,waltere01,Rex Walters,G,1994,190
4068,19270323,University of Tennessee,1955,6-2,walthpa01,Paul Walther,G-F,1950,160
4069,19300825,,1954,5-11,walthis01,Isaac Walthour,G,1954,163
4070,19521105,"University of California, Los Angeles",1987,6-11,waltobi01,Bill Walton,C-F,1975,210
4071,19531123,Marquette University,1981,6-0,waltoll01,Lloyd Walton,G,1977,160
4072,19800328,University of Arizona,2013,6-8,waltolu01,Luke Walton,F,2004,235
4073,19210604,Seton Hall University,1957,6-0,wanzebo01,Bobby Wanzer,G,1949,170
4074,19520907,Georgia Southern University,1975,6-2,warbipe01,Perry Warbington,G,1975,165
4075,19701012,Florida State University,2005,6-2,wardch01,Charlie Ward,G,1995,190
4076,19410906,Boston College,1967,6-4,wardge01,Gerry Ward,G,1964,195
